id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1202580942533136384,1202580942533136384,1575552614000,2019-12-05,14:30:14,CET,47620601,akk,A. Kramp-Karrenbauer,,"31 million people volunteer in our country, from the fire brigade to animal welfare, local politics and homework support. Thank you! We can do more to honor their commitment. #TagdesEhrenamt https://www.n-tv.de/politik/Ehrenamt-sollte-Bewerber-Vorteil-werden-article21438354.html…",[],['https://www.n-tv.de/politik/Ehrenamt-sollte-Bewerber-Vorteil-werden-article21438354.html'],[],118,46,216,['#tagdesehrenamts'],[],https://twitter.com/akk/status/1202580942533136384,False,,0,,,,,,,"[{'user_id': '47620601', 'username': 'akk'}]",
1201876189675237376,1201876189675237376,1575384588000,2019-12-03,15:49:48,CET,47620601,akk,A. Kramp-Karrenbauer,,It is important to me to get an idea of the deployment of our soldiers in #Afghanistan. Your commitment is highly recognized in Germany and among our international partners. My respect and thanks for your achievements and your service! pic.twitter.com/r4G9fmLM8E,[],[],['https://pbs.twimg.com/media/EK3sBBbXkAIrYxS.jpg'],93,40,240,['#afghanistan'],[],https://twitter.com/akk/status/1201876189675237376,False,,0,,,,,,,"[{'user_id': '47620601', 'username': 'akk'}]",
1201858927815798784,1201858927815798784,1575380472000,2019-12-03,14:41:12,CET,47620601,akk,A. Kramp-Karrenbauer,,"We promote a stable #AFG contributing to stability & peace in the region. This benefits security in #GER & #EU. Together with our int. partners, we continue to support training/advising AFG-forces, fighting terrorist networks, fostering civic development & democratic institutions https://twitter.com/drabdullahce/status/1201824707554754560 …",[],['https://twitter.com/drabdullahce/status/1201824707554754560'],[],8,10,40,"['#afg', '#ger', '#eu']",[],https://twitter.com/akk/status/1201858927815798784,False,https://twitter.com/DrabdullahCE/status/1201824707554754560,0,,,,,,,"[{'user_id': '47620601', 'username': 'akk'}]",
1201181209231024128,1201181209231024128,1575218891000,2019-12-01,17:48:11,CET,47620601,akk,A. Kramp-Karrenbauer,,"Today, like 20 years ago, #KFOR is important for Kosovo and the region. The deployment of our soldiers is associated with special burdens, especially at a time when the streets of Germany are decorated for Christmas. Thanks for your commitment! pic.twitter.com/JZ4T2xUo2o",[],[],['https://pbs.twimg.com/media/EKtz8IJXUAAFKhv.jpg'],42,37,246,['#kfor'],[],https://twitter.com/akk/status/1201181209231024128,False,,0,,,,,,,"[{'user_id': '47620601', 'username': 'akk'}]",
1200800163981352961,1200800163981352961,1575128043000,2019-11-30,16:34:03,CET,47620601,akk,A. Kramp-Karrenbauer,"Berlin, Germany","Dear Mr. @AhmadMansour__, once again congratulations on the well-deserved Karl Carstens Prize. The award is not only an appreciation of your previous work for integration, education and our constitution, but also a sign of support and encouragement to continue. https://twitter.com/AhmadMansour__/status/1200787625868742656…",['ahmadmansour__'],['https://twitter.com/AhmadMansour__/status/1200787625868742656'],[],17,22,196,[],[],https://twitter.com/akk/status/1200800163981352961,False,https://twitter.com/AhmadMansour__/status/1200787625868742656,0,,,,,,,"[{'user_id': '47620601', 'username': 'akk'}, {'user_id': '2182251391', 'username': 'AhmadMansour__'}]",
1200396073073811457,1200396073073811457,1575031700000,2019-11-29,13:48:20,CET,47620601,akk,A. Kramp-Karrenbauer,,I&#39;m happy for @Explornaut and it&#39;s a good decision. Thanks to all supporters. https://twitter.com/nadineschoen/status/1200182867294347265…,['explornaut'],['https://twitter.com/nadineschoen/status/1200182867294347265'],[],5,10,41,[],[],https://twitter.com/akk/status/1200396073073811457,False,https://twitter.com/NadineSchoen/status/1200182867294347265,0,,,,,,,"[{'user_id': '47620601', 'username': 'akk'}, {'user_id': '744236169374932996', 'username': 'Explornaut'}]",
1200080053801013254,1200080053801013254,1574956355000,2019-11-28,16:52:35,CET,47620601,akk,A. Kramp-Karrenbauer,"Berlin, Germany","In a #Germany year we see a # opportunity year! In the coming months, we will discuss whether this is ultimately mandatory or voluntary under improved framework conditions in the party and beyond. # Workshop discussion # Duty to attend pic.twitter.com/VptAQ8uaf4",[],[],['https://pbs.twimg.com/media/EKeKciOXkAAHecd.jpg'],169,35,192,"['#deutschlandjahr', '#chancenjahr', '#werkstattgespräch', '#dienstpflicht']",[],https://twitter.com/akk/status/1200080053801013254,False,,0,,,,,,,"[{'user_id': '47620601', 'username': 'akk'}]",
1199664177385811968,1199664177385811968,1574857203000,2019-11-27,13:20:03,CET,47620601,akk,A. Kramp-Karrenbauer,"Berlin, Germany","Dear Ursula @vonderleyen, congratulations on your clear choice. Whether digitalization, innovation or climate - there are big tasks ahead of Europe. You are the right woman for it. You can count on our support on our common European path. #EUstrivesformore",['vonderleyen'],[],[],97,38,310,['#eustrivesformore'],[],https://twitter.com/akk/status/1199664177385811968,False,,0,,,,,,,"[{'user_id': '47620601', 'username': 'akk'}, {'user_id': '1146329871418843136', 'username': 'vonderleyen'}]",
1199324807696916490,1199324807696916490,1574776291000,2019-11-26,14:51:31,CET,47620601,akk,A. Kramp-Karrenbauer,,"I spoke to UN Secretary General @antonioguterres about the Sahel region, northern Syria and Libya. Germany was &amp; is ready to become involved in @ UN missions to improve the humanitarian situation of the people, combat terrorism and prevent flight and displacement. pic.twitter.com/f0YOgdAiSC","['antonioguterres', 'un']",[],['https://pbs.twimg.com/media/EKTbjOgWsAY7c8i.jpg'],53,24,95,[],[],https://twitter.com/akk/status/1199324807696916490,False,,0,,,,,,,"[{'user_id': '47620601', 'username': 'akk'}, {'user_id': '811229675758505984', 'username': 'antonioguterres'}, {'user_id': '14159148', 'username': 'UN'}]",
1199296766828527621,1199296763905167363,1574769605000,2019-11-26,13:00:05,CET,47620601,akk,A. Kramp-Karrenbauer,,"With great dismay, I found out about the tragic accident in Mali. My thoughts and sympathy go to our French friends and allies. @florence_parly @EmmanuelMacron","['florence_parly', 'emmanuelmacron']",[],[],9,18,71,[],[],https://twitter.com/akk/status/1199296766828527621,False,,0,,,,,,,"[{'user_id': '47620601', 'username': 'akk'}, {'user_id': '877836832406417408', 'username': 'florence_parly'}, {'user_id': '1976143068', 'username': 'EmmanuelMacron'}]",
