id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1203003277106917377,1202945364845879296,1575653306000,2019-12-06,18:28:26,CET,19108766,cem_oezdemir,Cem Özdemir,"Stuttgart, Germany",Earned! Congratulations &amp; keep it up.,"['hendrikgroth', 'schwaebische', 'atrushi_farhad', 'olafdeutschbein', 'agnieszka_mdb']",[],[],0,0,0,[],[],https://twitter.com/cem_oezdemir/status/1203003277106917377,False,,0,,,,,,,"[{'user_id': '19108766', 'username': 'cem_oezdemir'}, {'user_id': '38030131', 'username': 'hendrikgroth'}, {'user_id': '57661478', 'username': 'Schwaebische'}, {'user_id': '816366917904691200', 'username': 'Atrushi_Farhad'}, {'user_id': '1019855984339152896', 'username': 'OlafDeutschbein'}, {'user_id': '172269309', 'username': 'agnieszka_mdb'}]",
1203002310789672960,1202623711024693248,1575653076000,2019-12-06,18:24:36,CET,19108766,cem_oezdemir,Cem Özdemir,"Stuttgart, Germany",But only because the medieval town hall of my hometown Bad Urach is in Baden-Württemberg 😀,['msa_'],[],[],2,0,5,[],[],https://twitter.com/cem_oezdemir/status/1203002310789672960,False,,0,,,,,,,"[{'user_id': '19108766', 'username': 'cem_oezdemir'}, {'user_id': '16390707', 'username': 'MSA_'}]",
1202943889696538625,1202943889696538625,1575639147000,2019-12-06,14:32:27,CET,19108766,cem_oezdemir,Cem Özdemir,"Stuttgart, Germany","Words and science fear autocrats the most. Our freedom of expression is a constant threat to Erdogan and his spirit brothers, from AKP to #noAfD. One more reason to defend them always &amp; everywhere. https://twitter.com/profcopur/status/1202643784334532613…",[],['https://twitter.com/profcopur/status/1202643784334532613'],[],11,28,133,['#noafd'],[],https://twitter.com/cem_oezdemir/status/1202943889696538625,False,https://twitter.com/profcopur/status/1202643784334532613,0,,,,,,,"[{'user_id': '19108766', 'username': 'cem_oezdemir'}]",
1202921135974813696,1202921135974813696,1575633722000,2019-12-06,13:02:02,CET,19108766,cem_oezdemir,Cem Özdemir,"Stuttgart, Germany",I wish you all a happy #Nikolaustag! Today I am traveling with fair-trade chocolate nicholas on the #Christmas market in my constituency in #Stuttgart. pic.twitter.com/aMMZvlaEEh,[],[],['https://pbs.twimg.com/media/ELGiYt6W4AEV9FX.jpg'],49,21,599,"['#nikolaustag', '#weihnachtsmarkt', '#stuttgart']",[],https://twitter.com/cem_oezdemir/status/1202921135974813696,False,,0,,,,,,,"[{'user_id': '19108766', 'username': 'cem_oezdemir'}]",
1202509218118586368,1202509218118586368,1575535513000,2019-12-05,09:45:13,CET,19108766,cem_oezdemir,Cem Özdemir,"Berlin, Germany","Yeah right! It takes a national effort to make the #rail the backbone of the #transport turnaround. @AndiScheuer has surprisingly offered cross-party discussions on the #Bahn &amp; we take his word for it. @MatthiasGastel @stephankuehn https://www.stimme.de/deutschland-welt/wirtschaft/wt/Gespraeche-ueber-Zukunft-der-Bahn-Gruene-sagen-Mitkung-zu;art270,4289496…","['andischeuer', 'matthiasgastel', 'stephankuehn']","['https://www.stimme.de/deutschland-welt/wirtschaft/wt/Gespraeche-ueber-Zukunft-der-Bahn-Gruene-sagen-Mitwirkung-zu;art270,4289496']",[],13,21,186,"['#schiene', '#verkehrswende', '#bahn']",[],https://twitter.com/cem_oezdemir/status/1202509218118586368,False,,0,,,,,,,"[{'user_id': '19108766', 'username': 'cem_oezdemir'}, {'user_id': '50315139', 'username': 'AndiScheuer'}, {'user_id': '727782559', 'username': 'MatthiasGastel'}, {'user_id': '104100946', 'username': 'stephankuehn'}]",
1201806289141215232,1201806289141215232,1575367922000,2019-12-03,11:12:02,CET,19108766,cem_oezdemir,Cem Özdemir,"Munich, Germany","Dear colleagues from @cducsubt &amp; @fdpbt, do you actually get such news? The fossil burner has an expiry date, so we can stick our heads in the sand no matter how deep. If you want to continue selling weiter, you have to rely on zero-emission. https://de.reuters.com/article/china-autos-idDEKBN1Y70QZ…","['cducsubt', 'fdpbt']",['https://de.reuters.com/article/china-autos-idDEKBN1Y70QZ'],[],122,155,1010,[],[],https://twitter.com/cem_oezdemir/status/1201806289141215232,False,,0,,,,,,,"[{'user_id': '19108766', 'username': 'cem_oezdemir'}, {'user_id': '46085533', 'username': 'cducsubt'}, {'user_id': '905516414257258497', 'username': 'fdpbt'}]",
1201794722009931776,1201794722009931776,1575365164000,2019-12-03,10:26:04,CET,19108766,cem_oezdemir,Cem Özdemir,,"You can lock people in, words &amp; thoughts cannot! That is why the world&#39;s autocrats, whether they are #Erdogan or #Putin, are most afraid of the word. In front of intellectuals, in front of academics and above all in front of journalists #FreePress https://www.tagesschau.de/ausland/mediengesetz-russland-103.html…",[],['https://www.tagesschau.de/ausland/mediengesetz-russland-103.html'],[],67,110,534,"['#erdogan', '#putin', '#freepress']",[],https://twitter.com/cem_oezdemir/status/1201794722009931776,False,,0,,,,,,,"[{'user_id': '19108766', 'username': 'cem_oezdemir'}]",
1201558981174530050,1201558981174530050,1575308959000,2019-12-02,18:49:19,CET,19108766,cem_oezdemir,Cem Özdemir,,Erdogan&#39;s fear of democratic opposition goes so far as to deny his political hostages urgent medical treatment. I agree with the doctors&#39; request: @hdpdemirtas must be transferred to a hospital immediately. https://twitter.com/lennartpfahler/status/1201485927207624704?s=21…,['hdpdemirtas'],['https://twitter.com/lennartpfahler/status/1201485927207624704?s=21'],[],29,138,363,[],[],https://twitter.com/cem_oezdemir/status/1201558981174530050,False,https://twitter.com/LennartPfahler/status/1201485927207624704,0,,,,,,,"[{'user_id': '19108766', 'username': 'cem_oezdemir'}, {'user_id': '224609329', 'username': 'hdpdemirtas'}]",
1201539890158153728,1201539890158153728,1575304408000,2019-12-02,17:33:28,CET,19108766,cem_oezdemir,Cem Özdemir,,"We must never let Nazis shut us up. Dear @SawsanChebli, anyone who threatens a democrat threatens our country and all of us. And we give the answer together: stop Nazis! https://twitter.com/sawsanchebli/status/1201435186354888704…",['sawsanchebli'],['https://twitter.com/sawsanchebli/status/1201435186354888704'],[],149,328,2456,[],[],https://twitter.com/cem_oezdemir/status/1201539890158153728,False,https://twitter.com/SawsanChebli/status/1201435186354888704,0,,,,,,,"[{'user_id': '19108766', 'username': 'cem_oezdemir'}, {'user_id': '806177097265901568', 'username': 'SawsanChebli'}]",
1200887323480731649,1200883943068844037,1575148823000,2019-11-30,22:20:23,CET,19108766,cem_oezdemir,Cem Özdemir,"Berlin, Germany",Thank you! 🙏,"['axl_0711', 'derdanyal', 'zeit', 'dietotenhosen']",[],[],1,0,12,[],[],https://twitter.com/cem_oezdemir/status/1200887323480731649,False,,0,,,,,,,"[{'user_id': '19108766', 'username': 'cem_oezdemir'}, {'user_id': '2884651617', 'username': 'AXL_0711'}, {'user_id': '808400627084705792', 'username': 'DerDanyal'}, {'user_id': '2794260316', 'username': 'Zeit'}, {'user_id': '21299069', 'username': 'dietotenhosen'}]",
