id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1197823168586698752,1197823168586698752,1574418272000,2019-11-22,11:24:32,CET,17675072,martinschulz,Martin Schulz,,"We Social Democrats make up a third of the EU commissioners. We want to make Europe more social, democratic and sustainable. This also requires a strong federal government, driven by a strong SPD. @TimmermansEU makes it clear what it is about: https://www.vorwaerts.de/artikel/frans-timmermans-zukunft-eu-spd-hat-entscheidende-rolle…",['timmermanseu'],['https://www.vorwaerts.de/artikel/frans-timmermans-zukunft-eu-spd-hat-entscheidende-rolle'],[],30,17,86,[],[],https://twitter.com/MartinSchulz/status/1197823168586698752,False,,0,,,,,,,"[{'user_id': '17675072', 'username': 'MartinSchulz'}, {'user_id': '1391776140', 'username': 'TimmermansEU'}]",
1197139684964610048,1197139684964610048,1574255317000,2019-11-20,14:08:37,CET,17675072,martinschulz,Martin Schulz,,The co-founder of #ExtinctionRebellion did not understand the #Holocaust or does not want to understand it: The industrial murder of Jews was the most inhumane crime ever! The memory of it doesn&#39;t paralyze us. It helps us prevent fascism.,[],[],[],63,80,854,"['#extinctionrebellion', '#holocaust']",[],https://twitter.com/MartinSchulz/status/1197139684964610048,False,,0,,,,,,,"[{'user_id': '17675072', 'username': 'MartinSchulz'}]",
1192117873503805440,1192117873503805440,1573058024000,2019-11-06,17:33:44,CET,17675072,martinschulz,Martin Schulz,,We need bridges instead of walls! Hardly anyone knows this better than Berliners. The @InitiativeOG has now sent a piece of the old wall to Donald Trump as a reminder. A great campaign that I would be happy to support. Join: https://thewallagainstwalls.com pic.twitter.com/gnCyVkW1CA,['initiativeog'],['https://thewallagainstwalls.com'],['https://pbs.twimg.com/media/EItA4irWwAA6KI1.jpg'],19,59,209,[],[],https://twitter.com/MartinSchulz/status/1192117873503805440,False,,0,,,,,,,"[{'user_id': '17675072', 'username': 'MartinSchulz'}, {'user_id': '779222522445389824', 'username': 'InitiativeOG'}]",
1190245210195976192,1190245210195976192,1572611546000,2019-11-01,13:32:26,CET,17675072,martinschulz,Martin Schulz,,"I didn&#39;t make it easy for myself, but despite all the injuries and differences in content between us, I will vote for @klara_geywitz and @OlafScholz as the new chairman of my party in the second vote. More on that tomorrow in @DerSPIEGEL. #unsereSPD pic.twitter.com/PIkMQ3IyNp","['klara_geywitz', 'olafscholz', 'derspiegel']",[],['https://pbs.twimg.com/media/EISZtQGWsAAe3gD.jpg'],227,39,195,['#unserespd'],[],https://twitter.com/MartinSchulz/status/1190245210195976192,False,,0,,,,,,,"[{'user_id': '17675072', 'username': 'MartinSchulz'}, {'user_id': '820303897126268929', 'username': 'klara_geywitz'}, {'user_id': '38150247', 'username': 'OlafScholz'}, {'user_id': '17965092', 'username': 'DerSPIEGEL'}]",
1189575855250575361,1189575855250575361,1572451959000,2019-10-30,17:12:39,CET,17675072,martinschulz,Martin Schulz,,"Thank you for your work and your friendship, dear Jean-Claude. Europe owes you more than many think. You strengthened the commission and at the same time respected the parliament. That will always remain immortalized in the foundation of our European Union. https://twitter.com/JunckerEU/status/1189557258897776640…",[],['https://twitter.com/JunckerEU/status/1189557258897776640'],[],32,25,276,[],[],https://twitter.com/MartinSchulz/status/1189575855250575361,False,https://twitter.com/JunckerEU/status/1189557258897776640,0,,,,,,,"[{'user_id': '17675072', 'username': 'MartinSchulz'}]",
1184798084259307521,1184798084259307521,1571312850000,2019-10-17,13:47:30,CET,17675072,martinschulz,Martin Schulz,,"If it really comes to a fair #BrexitDeal, it is gratifying given the circumstances. But I also made it clear in the #Bundestag today: Renationalization is the wrong way. We only solve the challenges of our time together. pic.twitter.com/zerXVdyEaT",[],[],[],36,39,274,"['#brexitdeal', '#bundestag']",[],https://twitter.com/MartinSchulz/status/1184798084259307521,False,,1,,,,,,,"[{'user_id': '17675072', 'username': 'MartinSchulz'}]",
1184417409014341632,1184417409014341632,1571222090000,2019-10-16,12:34:50,CET,17675072,martinschulz,Martin Schulz,,"When Erdogan attacks @HeikoMaas personally, it shows that the president is going crazy and has no grip on the diplomatic scene. And: the stop of arms export permits is having an effect. We stand behind Heiko Maas and against the offensive in Northeast Syria!",['heikomaas'],[],[],105,132,1090,[],[],https://twitter.com/MartinSchulz/status/1184417409014341632,False,,0,,,,,,,"[{'user_id': '17675072', 'username': 'MartinSchulz'}, {'user_id': '24158261', 'username': 'HeikoMaas'}]",
1183993072193036289,1183993062311256066,1571120920000,2019-10-15,08:28:40,CET,17675072,martinschulz,Martin Schulz,,It is no longer possible to seriously negotiate with the Turkish President and his methods of joining the EU. The EU accession negotiations with Turkey have to be seen as failed. It is time we finally made this clear to Mr. Erdogan.,[],[],[],20,44,240,[],[],https://twitter.com/MartinSchulz/status/1183993072193036289,False,,0,,,,,,,"[{'user_id': '17675072', 'username': 'MartinSchulz'}]",
1183993069676318720,1183993062311256066,1571120919000,2019-10-15,08:28:39,CET,17675072,martinschulz,Martin Schulz,,"In the short term, economic sanctions will have Erdogan feeling that we are opposing his escalation of violence. In addition, the suspension of all economic cooperation agreements with Turkey, including the customs union, should be seriously examined.",[],[],[],10,37,188,[],[],https://twitter.com/MartinSchulz/status/1183993069676318720,False,,0,,,,,,,"[{'user_id': '17675072', 'username': 'MartinSchulz'}]",
1183993067126378496,1183993062311256066,1571120919000,2019-10-15,08:28:39,CET,17675072,martinschulz,Martin Schulz,,Erdogan&#39;s threat to terminate the refugee agreement with the EU is cynical and should not be used as a reason to tolerate his behavior. It is inhuman to balance people&#39;s suffering with the suffering of others; it is blackmail at the lowest level.,[],[],[],5,30,118,[],[],https://twitter.com/MartinSchulz/status/1183993067126378496,False,,0,,,,,,,"[{'user_id': '17675072', 'username': 'MartinSchulz'}]",
